date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2021-11-27,China,Guangxi,395,2.0,2,0.0,,
2021-11-28,China,Guangxi,396,1.0,2,0.0,,
2021-11-29,China,Guangxi,400,4.0,2,0.0,,
2021-11-30,China,Guangxi,401,1.0,2,0.0,,
2021-12-01,China,Guangxi,409,8.0,2,0.0,,
2021-12-02,China,Guangxi,413,4.0,2,0.0,,
2021-12-03,China,Guangxi,416,3.0,2,0.0,,
2021-12-04,China,Guangxi,417,1.0,2,0.0,,
2021-12-05,China,Guangxi,426,9.0,2,0.0,,
2021-12-06,China,Guangxi,439,13.0,2,0.0,,
2021-12-07,China,Guangxi,447,8.0,2,0.0,,
2021-12-08,China,Guangxi,456,9.0,2,0.0,,
2021-12-09,China,Guangxi,463,7.0,2,0.0,,
2021-12-10,China,Guangxi,478,15.0,2,0.0,,
2021-12-11,China,Guangxi,486,8.0,2,0.0,,
2021-12-12,China,Guangxi,490,4.0,2,0.0,,
2021-12-13,China,Guangxi,497,7.0,2,0.0,,
2021-12-14,China,Guangxi,499,2.0,2,0.0,,
2021-12-15,China,Guangxi,499,0.0,2,0.0,,
2021-12-16,China,Guangxi,506,7.0,2,0.0,,
2021-12-17,China,Guangxi,516,10.0,2,0.0,,
2021-12-18,China,Guangxi,523,7.0,2,0.0,,
2021-12-19,China,Guangxi,537,14.0,2,0.0,,
2021-12-20,China,Guangxi,540,3.0,2,0.0,,
2021-12-21,China,Guangxi,547,7.0,2,0.0,,
2021-12-22,China,Guangxi,554,7.0,2,0.0,,
2021-12-23,China,Guangxi,558,4.0,2,0.0,,
2021-12-24,China,Guangxi,568,10.0,2,0.0,,
2021-12-25,China,Guangxi,575,7.0,2,0.0,,
2021-12-26,China,Guangxi,593,18.0,2,0.0,,
2021-12-27,China,Guangxi,599,6.0,2,0.0,,
2021-12-28,China,Guangxi,605,6.0,2,0.0,,
2021-12-29,China,Guangxi,610,5.0,2,0.0,,
2021-12-30,China,Guangxi,613,3.0,2,0.0,,
2021-12-31,China,Guangxi,622,9.0,2,0.0,,
2022-01-01,China,Guangxi,630,8.0,2,0.0,,
2022-01-02,China,Guangxi,637,7.0,2,0.0,,
2022-01-03,China,Guangxi,641,4.0,2,0.0,,
2022-01-04,China,Guangxi,650,9.0,2,0.0,,
2022-01-05,China,Guangxi,652,2.0,2,0.0,,
2022-01-06,China,Guangxi,656,4.0,2,0.0,,
2022-01-07,China,Guangxi,662,6.0,2,0.0,,
2022-01-08,China,Guangxi,665,3.0,2,0.0,,
2022-01-09,China,Guangxi,668,3.0,2,0.0,,
2022-01-10,China,Guangxi,673,5.0,2,0.0,,
2022-01-11,China,Guangxi,675,2.0,2,0.0,,
2022-01-12,China,Guangxi,677,2.0,2,0.0,,
2022-01-13,China,Guangxi,681,4.0,2,0.0,,
2022-01-14,China,Guangxi,681,0.0,2,0.0,,
2022-01-15,China,Guangxi,683,2.0,2,0.0,,
2022-01-16,China,Guangxi,687,4.0,2,0.0,,
2022-01-17,China,Guangxi,688,1.0,2,0.0,,
2022-01-18,China,Guangxi,690,2.0,2,0.0,,
2022-01-19,China,Guangxi,690,0.0,2,0.0,,
2022-01-20,China,Guangxi,691,1.0,2,0.0,,
2022-01-21,China,Guangxi,693,2.0,2,0.0,,
2022-01-22,China,Guangxi,694,1.0,2,0.0,,
2022-01-23,China,Guangxi,695,1.0,2,0.0,,
2022-01-24,China,Guangxi,700,5.0,2,0.0,,
2022-01-25,China,Guangxi,704,4.0,2,0.0,,
2022-01-26,China,Guangxi,705,1.0,2,0.0,,
2022-01-27,China,Guangxi,706,1.0,2,0.0,,
2022-01-28,China,Guangxi,708,2.0,2,0.0,,
2022-01-29,China,Guangxi,710,2.0,2,0.0,,
2022-01-30,China,Guangxi,710,0.0,2,0.0,,
2022-01-31,China,Guangxi,715,5.0,2,0.0,,
2022-02-01,China,Guangxi,716,1.0,2,0.0,,
2022-02-02,China,Guangxi,716,0.0,2,0.0,,
2022-02-03,China,Guangxi,716,0.0,2,0.0,,
2022-02-04,China,Guangxi,716,0.0,2,0.0,,
2022-02-05,China,Guangxi,723,7.0,2,0.0,,
2022-02-06,China,Guangxi,761,38.0,2,0.0,,
2022-02-07,China,Guangxi,826,65.0,2,0.0,,
2022-02-08,China,Guangxi,903,77.0,2,0.0,,
2022-02-09,China,Guangxi,911,8.0,2,0.0,,
2022-02-10,China,Guangxi,946,35.0,2,0.0,,
2022-02-11,China,Guangxi,978,32.0,2,0.0,,
2022-02-12,China,Guangxi,996,18.0,2,0.0,,
2022-02-13,China,Guangxi,1002,6.0,2,0.0,,
2022-02-14,China,Guangxi,1007,5.0,2,0.0,,
2022-02-15,China,Guangxi,1011,4.0,2,0.0,,
2022-02-16,China,Guangxi,1016,5.0,2,0.0,,
2022-02-17,China,Guangxi,1019,3.0,2,0.0,,
2022-02-18,China,Guangxi,1021,2.0,2,0.0,,
2022-02-19,China,Guangxi,1023,2.0,2,0.0,,
2022-02-20,China,Guangxi,1028,5.0,2,0.0,,
2022-02-21,China,Guangxi,1028,0.0,2,0.0,,
