target,model,feature,importance
recovered,GradientBoosting,ewm_7,0.014652950107563527
recovered,GradientBoosting,lag_7,0.01445180133941866
recovered,GradientBoosting,lag_13,0.014323201521048986
recovered,GradientBoosting,ewm_14,0.014252980332934866
recovered,GradientBoosting,lag_3,0.013317738231672104
recovered,GradientBoosting,week_of_year,0.013256702219310834
recovered,GradientBoosting,rolling_median_28,0.0122329549408251
recovered,GradientBoosting,lag_5,0.012064914544289533
recovered,GradientBoosting,dow_sin,0.011509986888143612
recovered,GradientBoosting,diff_1,0.011057818039422957
recovered,GradientBoosting,rolling_std_3,0.009832803668488497
recovered,GradientBoosting,day_of_week,0.009829958860049746
recovered,GradientBoosting,rolling_mean_28,0.008078659788549457
recovered,GradientBoosting,rolling_max_14,0.005761039076319267
recovered,GradientBoosting,rolling_median_7,0.005586227574186671
recovered,GradientBoosting,dow_cos,0.005100365286658803
recovered,GradientBoosting,rolling_max_28,0.0016311771912585953
recovered,GradientBoosting,month,0.0004443265669676633
recovered,GradientBoosting,is_weekend,0.0002595447408955121
recovered,RandomForest,lag_2,0.20162116273623804
recovered,RandomForest,day_index,0.1184560817493746
recovered,RandomForest,rolling_std_14,0.09851856449477792
recovered,RandomForest,rolling_max_7,0.09442921319435972
recovered,RandomForest,rolling_median_7,0.08662086627746086
recovered,RandomForest,rolling_mean_7,0.06065694641005832
recovered,RandomForest,rolling_std_7,0.05268040410088916
recovered,RandomForest,ewm_7,0.029151554683349984
recovered,RandomForest,rolling_mean_3,0.028124407201692212
recovered,RandomForest,lag_6,0.02652504714986836
recovered,RandomForest,rolling_max_3,0.023283249699270946
recovered,RandomForest,rolling_median_3,0.020929589203426472
recovered,RandomForest,lag_8,0.016605026923719828
recovered,RandomForest,rolling_median_14,0.016075351114906666
recovered,RandomForest,lag_3,0.013117934691013475
recovered,RandomForest,lag_1,0.012623180459432686
recovered,RandomForest,lag_5,0.009927442941321082
recovered,RandomForest,rolling_mean_14,0.009056674566833296
recovered,RandomForest,lag_7,0.007635242441123947
recovered,RandomForest,lag_9,0.005794411464340576
recovered,RandomForest,lag_10,0.00570524546486709
recovered,RandomForest,rolling_median_28,0.005240711751970733
recovered,RandomForest,rolling_mean_28,0.004789996018059661
recovered,RandomForest,ewm_14,0.004774579382070621
recovered,RandomForest,rolling_std_28,0.004229091722021462
recovered,RandomForest,diff_7,0.00422725162384084
recovered,RandomForest,lag_4,0.004199161568189877
recovered,RandomForest,lag_11,0.0037902368343512983
recovered,RandomForest,rolling_max_14,0.003630385210109286
recovered,RandomForest,lag_28,0.0033763004599835712
recovered,RandomForest,rolling_std_3,0.003208196020802091
recovered,RandomForest,lag_13,0.003201448508723859
recovered,RandomForest,dow_sin,0.002892540287149179
recovered,RandomForest,lag_14,0.0027949721349365586
recovered,RandomForest,lag_12,0.002662836909864433
recovered,RandomForest,day_of_week,0.00242240377888384
recovered,RandomForest,ratio_to_mean_7,0.0017813723671393166
recovered,RandomForest,rolling_max_28,0.0017140807674516174
recovered,RandomForest,diff_1,0.001383749552953521
recovered,RandomForest,lag_21,0.0011481858798776
recovered,RandomForest,week_of_year,0.00041645757727690224
recovered,RandomForest,dow_cos,0.00027185210608478283
recovered,RandomForest,is_weekend,0.00021087724818181515
recovered,RandomForest,month,9.571532175188094e-05
