date,day,susceptible,infected,removed,beta_raw,gamma_raw,beta,gamma,reproduction_number
2020-03-03,41.0,9911.800000040894,29864.0,50397.0,0.004185641575140638,0.08662603803911063,0.004185641575140638,0.08662603803911063,0.048318515655199075
2020-03-04,42.0,9786.800000040894,27402.0,52984.0,0.005510546675425151,0.08477483395372601,0.005510546675425151,0.08477483395372601,0.06500215238915195
2020-03-05,43.0,9635.800000040894,25230.0,55307.0,0.006064209274673008,0.06662703131193023,0.006064209274673008,0.06662703131193023,0.09101725163593101
2020-03-06,44.0,9482.800000040894,23702.0,56988.0,0.003375242595561556,0.06847523415745507,0.003375242595561556,0.06847523415745507,0.04929143561306223
2020-03-07,45.0,9402.800000040894,22159.0,58611.0,0.0023918046843269102,0.08470598853738887,0.0023918046843269102,0.08470598853738887,0.028236547682472034
2020-03-08,46.0,9349.800000040894,20335.0,60488.0,0.0018195229899188592,0.07076469141873618,0.0018195229899188592,0.07076469141873618,0.02571230020847811
2020-03-09,47.0,9312.800000040894,18933.0,61927.0,0.0014260814450958643,0.07357523900068663,0.0014260814450958643,0.07357523900068663,0.019382627422828428
2020-03-10,48.0,9285.800000040894,17567.0,63320.0,0.0019354471452154608,0.08453350031308704,0.0019354471452154608,0.08453350031308704,0.022895622895622896
2020-03-11,49.0,9251.800000040894,16116.0,64805.0,0.0006825515016133035,0.07867957309506081,0.0006825515016133035,0.07867957309506081,0.008675078864353312
2020-03-12,50.0,9240.800000040894,14859.0,66073.0,0.0008748906386701663,0.08769096170670974,0.0008748906386701663,0.08769096170670974,0.009976976208749041
2020-03-13,51.0,9227.800000040894,13569.0,67376.0,0.0023583167514186747,0.10885105755766822,0.0023583167514186747,0.10885105755766822,0.021665538253215978
2020-03-14,52.0,9195.800000040894,12124.0,68853.0,0.002144506763444408,0.11283404816892115,0.002144506763444408,0.11283404816892115,0.019005847953216377
2020-03-15,53.0,9169.800000040894,10782.0,70221.0,0.0027824151363383415,0.08421443145984048,0.0027824151363383415,0.08421443145984048,0.03303964757709251
2020-03-16,54.0,9139.800000040894,9904.0,71129.0,0.002524232633279483,0.09097334410339257,0.002524232633279483,0.09097334410339257,0.02774694783573807
2020-03-17,55.0,9114.800000040894,9028.0,72030.0,0.004873726185201595,0.1072219760744351,0.004873726185201595,0.1072219760744351,0.04545454545454545
2020-03-18,56.0,9070.800000040894,8104.0,72998.0,0.006663376110562685,0.09723593287265547,0.006663376110562685,0.09723593287265547,0.0685279187817259
2020-03-19,57.0,9016.800000040894,7370.0,73786.0,0.012754409769335142,0.09972862957937585,0.012754409769335142,0.09972862957937585,0.12789115646258503
2020-03-20,58.0,8922.800000040894,6729.0,74521.0,0.008173577054540051,0.08886907415663546,0.008173577054540051,0.08886907415663546,0.0919732441471572
2020-03-21,59.0,8867.800000040894,6186.0,75119.0,0.02101519560297446,0.08406078241189784,0.02101519560297446,0.08406078241189784,0.25
2020-03-22,60.0,8737.800000040894,5796.0,75639.0,0.010006901311249138,0.07832988267770877,0.010006901311249138,0.07832988267770877,0.1277533039647577
2020-03-23,61.0,8679.800000040894,5400.0,76093.0,0.017407407407407406,0.0875925925925926,0.017407407407407406,0.0875925925925926,0.19873150105708243
2020-03-24,62.0,8585.800000040894,5021.0,76566.0,0.014140609440350527,0.0989842660824537,0.014140609440350527,0.0989842660824537,0.14285714285714285
2020-03-25,63.0,8514.800000040894,4595.0,77063.0,0.02676822633297062,0.09075081610446137,0.02676822633297062,0.09075081610446137,0.2949640287769784
2020-03-26,64.0,8391.800000040894,4301.0,77480.0,0.021157870262729597,0.12648221343873517,0.021157870262729597,0.12648221343873517,0.1672794117647059
2020-03-27,65.0,8300.800000040894,3848.0,78024.0,0.02390852390852391,0.09953222453222453,0.02390852390852391,0.09953222453222453,0.2402088772845953
2020-03-28,66.0,8208.800000040894,3557.0,78407.0,0.026426764127073378,0.13719426482991284,0.026426764127073378,0.13719426482991284,0.19262295081967215
2020-03-29,67.0,8114.800000040894,3163.0,78895.0,0.025608599430920014,0.10938981979133734,0.025608599430920014,0.10938981979133734,0.23410404624277456
2020-03-30,68.0,8033.800000040894,2898.0,79241.0,0.5683229813664596,0.09937888198757763,0.5683229813664596,0.09937888198757763,5.718750000000001
2020-03-31,69.0,6386.800000040894,4257.0,79529.0,0.0507399577167019,0.04886070002349072,0.0507399577167019,0.04886070002349072,1.0384615384615383
2020-04-01,70.0,6170.800000040894,4265.0,79737.0,0.02977725674091442,0.039155920281359904,0.02977725674091442,0.039155920281359904,0.7604790419161677
2020-04-02,71.0,6043.800000040894,4225.0,79904.0,0.03218934911242603,0.048284023668639056,0.03218934911242603,0.048284023668639056,0.6666666666666665
2020-04-03,72.0,5907.800000040894,4157.0,80108.0,0.023574693288429156,0.04594659610295886,0.023574693288429156,0.04594659610295886,0.5130890052356021
2020-04-04,73.0,5809.800000040894,4064.0,80299.0,0.025590551181102362,0.06520669291338582,0.025590551181102362,0.06520669291338582,0.39245283018867927
2020-04-05,74.0,5705.800000040894,3903.0,80564.0,0.03689469638739431,0.027414809121188828,0.03689469638739431,0.027414809121188828,1.3457943925233644
2020-04-06,75.0,5561.800000040894,3940.0,80671.0,0.020558375634517765,0.025634517766497462,0.020558375634517765,0.025634517766497462,0.8019801980198019
2020-04-07,76.0,5480.800000040894,3920.0,80772.0,0.055357142857142855,0.04107142857142857,0.055357142857142855,0.04107142857142857,1.3478260869565217
2020-04-08,77.0,5263.800000040894,3976.0,80933.0,0.028923541247484908,0.029678068410462777,0.028923541247484908,0.029678068410462777,0.9745762711864406
2020-04-09,78.0,5148.800000040894,3973.0,81051.0,0.022904606091115026,0.02844198338786811,0.022904606091115026,0.02844198338786811,0.8053097345132744
2020-04-10,79.0,5057.800000040894,3951.0,81164.0,0.023538344722854973,0.02328524424196406,0.023538344722854973,0.02328524424196406,1.0108695652173914
2020-04-11,80.0,4964.800000040894,3952.0,81256.0,0.04276315789473684,0.020495951417004048,0.04276315789473684,0.020495951417004048,2.0864197530864197
2020-04-12,81.0,4795.800000040894,4040.0,81337.0,0.027722772277227723,0.021534653465346533,0.027722772277227723,0.021534653465346533,1.2873563218390807
2020-04-13,82.0,4683.800000040894,4065.0,81424.0,0.01968019680196802,0.04009840098400984,0.01968019680196802,0.04009840098400984,0.49079754601227
